"","breed","outcome_subtype","outcome_type","sex","Spay.Neuter","age.at.outcome","age_group","dob_year","dob_month","dob_monthyear","outcome_month","outcome_year","outcome_weekday","outcome_hour","cfa_breed","domestic_breed","coat_pattern","color1","color2","coat","is.kitten","adopted"
"10722","domestic shorthair","","Adoption","Male",TRUE,0.328767123,"(-0.022, 2.2]",2017,3,"2017-08","8",2017,"Sunday",17,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10723","domestic mediumhair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2015,6,"2015-08","8",2015,"Sunday",18,FALSE,TRUE,"tabby","orange","","orange",TRUE,TRUE
"10724","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,7,"2017-09","9",2017,"Sunday",17,FALSE,TRUE,"solid","other","white","gray",TRUE,TRUE
"10725","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2016,5,"2016-08","8",2016,"Tuesday",18,FALSE,TRUE,"solid","black","white","black",TRUE,TRUE
"10726","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2015,7,"2015-09","9",2015,"Monday",17,FALSE,TRUE,"tabby","blue","","blue",TRUE,TRUE
"10727","domestic shorthair","","Adoption","Female",TRUE,0.493150685,"(-0.022, 2.2]",2015,6,"2015-12","12",2015,"Friday",14,FALSE,TRUE,"solid","black","white","black",FALSE,TRUE
"10728","domestic shorthair","","Adoption","Male",TRUE,0.328767123,"(-0.022, 2.2]",2016,8,"2016-12","12",2016,"Monday",22,FALSE,TRUE,"solid","black","white","black",TRUE,TRUE
"10729","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2015,3,"2015-05","5",2015,"Saturday",18,FALSE,TRUE,"solid","other","white","cream",TRUE,TRUE
"10730","domestic mediumhair","Foster","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2016,11,"2017-02","2",2017,"Monday",17,FALSE,TRUE,"tabby","orange","white","orange ",TRUE,TRUE
"10731","domestic shorthair","","Adoption","Male",TRUE,2,"(-0.022, 2.2]",2014,1,"2016-07","7",2016,"Sunday",18,FALSE,TRUE,"solid","black","","black",FALSE,TRUE
"10732","domestic shorthair","","Adoption","Male",TRUE,3,"(2.2, 4.4]",2013,3,"2016-04","4",2016,"Monday",13,FALSE,TRUE,"solid","black","","black",FALSE,TRUE
"10733","domestic shorthair","","Adoption","Female",FALSE,0.164383562,"(-0.022, 2.2]",2017,8,"2017-10","10",2017,"Tuesday",18,FALSE,TRUE,"torbie","other","","torbie",TRUE,TRUE
"10734","domestic shorthair","","Adoption","Female",FALSE,0.164383562,"(-0.022, 2.2]",2015,11,"2016-01","1",2016,"Monday",16,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10735","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,9,"2017-11","11",2017,"Saturday",17,FALSE,TRUE,"solid","blue","","blue",TRUE,TRUE
"10736","maine coon","","Adoption","Female",TRUE,8,"(6.6, 8.8]",2007,6,"2015-08","8",2015,"Sunday",18,TRUE,FALSE,"torbie","other","","torbie",FALSE,TRUE
"10737","domestic longhair","Foster","Adoption","Male",TRUE,0.410958904,"(-0.022, 2.2]",2015,8,"2016-02","2",2016,"Tuesday",14,FALSE,TRUE,"tabby","orange","white","orange ",TRUE,TRUE
"10738","domestic shorthair","","Adoption","Male",TRUE,0.246575342,"(-0.022, 2.2]",2015,7,"2015-11","11",2015,"Saturday",15,FALSE,TRUE,"solid","black","white","black",TRUE,TRUE
"10739","domestic shorthair","Foster","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2016,4,"2016-06","6",2016,"Thursday",10,FALSE,TRUE,"tabby","blue","white","blue ",TRUE,TRUE
"10740","domestic shorthair","","Adoption","Male",FALSE,0.082191781,"(-0.022, 2.2]",2015,5,"2015-07","7",2015,"Sunday",14,FALSE,TRUE,"solid","blue","","blue",TRUE,TRUE
"10741","domestic shorthair","","Adoption","Female",TRUE,1,"(-0.022, 2.2]",2014,8,"2015-08","8",2015,"Wednesday",19,FALSE,TRUE,"solid","blue","white","blue",FALSE,TRUE
"10742","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2015,4,"2015-07","7",2015,"Wednesday",17,FALSE,TRUE,"tabby","blue","white","blue ",TRUE,TRUE
"10743","domestic shorthair","Foster","Adoption","Female",TRUE,0.410958904,"(-0.022, 2.2]",2016,5,"2016-10","10",2016,"Monday",19,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"10744","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2016,6,"2016-09","9",2016,"Saturday",16,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"10745","domestic shorthair","Foster","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2016,1,"2016-04","4",2016,"Saturday",17,FALSE,TRUE,"solid","blue","white","blue",TRUE,TRUE
"10746","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2015,7,"2015-10","10",2015,"Friday",15,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10747","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2016,4,"2016-06","6",2016,"Saturday",18,FALSE,TRUE,"tabby","orange","white","orange ",TRUE,TRUE
"10748","siamese","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2016,3,"2016-06","6",2016,"Monday",17,TRUE,FALSE,"solid","white","","white",TRUE,TRUE
"10749","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,9,"2017-12","12",2017,"Friday",12,FALSE,TRUE,"tabby","orange","white","orange ",TRUE,TRUE
"10750","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,3,"2017-05","5",2017,"Wednesday",17,FALSE,TRUE,"tabby","brown","white","brown ",TRUE,TRUE
"10751","domestic shorthair","","Adoption","Female",TRUE,0.328767123,"(-0.022, 2.2]",2017,7,"2017-12","12",2017,"Thursday",13,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10752","domestic shorthair","Foster","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2015,11,"2016-02","2",2016,"Tuesday",8,FALSE,TRUE,"tabby","orange","","orange",TRUE,TRUE
"10753","domestic shorthair","","Adoption","Female",TRUE,0.410958904,"(-0.022, 2.2]",2016,7,"2016-12","12",2016,"Saturday",15,FALSE,TRUE,"tortie","other","","tortie",TRUE,TRUE
"10754","domestic mediumhair","Foster","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2017,6,"2017-08","8",2017,"Saturday",15,FALSE,TRUE,"solid","black","white","black",TRUE,TRUE
"10755","domestic mediumhair","Foster","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2016,8,"2016-11","11",2016,"Saturday",0,FALSE,TRUE,"tortie","other","white","tortie",TRUE,TRUE
"10756","domestic shorthair","","Adoption","Female",TRUE,0.821917808,"(-0.022, 2.2]",2015,12,"2016-10","10",2016,"Saturday",18,FALSE,TRUE,"solid","white","","white",FALSE,TRUE
"10757","domestic shorthair","Foster","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2016,4,"2016-07","7",2016,"Sunday",18,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10758","domestic shorthair","","Adoption","Female",TRUE,14,"(13.2, 15.4]",2002,6,"2016-07","7",2016,"Saturday",19,FALSE,TRUE,"solid","white","blue","white",FALSE,TRUE
"10759","domestic shorthair","Foster","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2016,12,"2017-02","2",2017,"Thursday",15,FALSE,TRUE,"tabby","brown","","brown",TRUE,TRUE
"10760","domestic shorthair","","Adoption","Female",TRUE,1,"(-0.022, 2.2]",2016,4,"2017-05","5",2017,"Sunday",17,FALSE,TRUE,"tabby","brown","white","brown ",FALSE,TRUE
"10761","domestic mediumhair","Foster","Adoption","Female",TRUE,0.246575342,"(-0.022, 2.2]",2016,8,"2016-12","12",2016,"Friday",11,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10762","domestic shorthair","Foster","Adoption","Male",FALSE,0.410958904,"(-0.022, 2.2]",2016,4,"2016-09","9",2016,"Wednesday",12,FALSE,TRUE,"tabby","white","black","white",TRUE,TRUE
"10763","domestic shorthair","Foster","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2016,3,"2016-05","5",2016,"Tuesday",17,FALSE,TRUE,"tabby","orange","","orange",TRUE,TRUE
"10764","domestic shorthair","Foster","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2016,4,"2016-07","7",2016,"Saturday",17,FALSE,TRUE,"solid","black","","black",TRUE,TRUE
"10765","domestic shorthair","","Adoption","Male",TRUE,9,"(8.8, 11.0]",2008,9,"2017-11","11",2017,"Wednesday",12,FALSE,TRUE,"tabby","other","white","cream ",FALSE,TRUE
"10766","domestic shorthair","","Adoption","Male",TRUE,0.164383562,"(-0.022, 2.2]",2015,6,"2015-09","9",2015,"Sunday",16,FALSE,TRUE,"tabby","brown","white","brown ",TRUE,TRUE
"10767","domestic shorthair","","Adoption","Male",TRUE,0.246575342,"(-0.022, 2.2]",2017,4,"2017-08","8",2017,"Tuesday",15,FALSE,TRUE,"tabby","orange","","orange",TRUE,TRUE
"10768","domestic shorthair","","Adoption","Female",TRUE,0.164383562,"(-0.022, 2.2]",2017,8,"2017-10","10",2017,"Thursday",17,FALSE,TRUE,"tabby","blue","white","blue ",TRUE,TRUE
"10769","japanese bobtail","","Adoption","Female",TRUE,0.904109589,"(-0.022, 2.2]",2016,8,"2017-08","8",2017,"Tuesday",18,TRUE,FALSE,"tortie","other","","tortie",FALSE,TRUE
